Signal Legend:

Key        Signal Name

0        = rx
1        = RISC_V_Core:CORE|Reg_PC:PCREG|Q[31..0]
2        = UART_Full_Duplex:UART|Reg_Param:RXREG|Q[7..0]

Data Table:

Signals-> 0 1         2   

sample

675       1 00000070h 0Ch 
676       1 00000074h 0Ch 
677       1 00000070h 0Ch 
678       1 00000074h 0Ch 
679       1 00000070h 0Ch 
680       1 00000074h 0Ch 
681       1 00000070h 0Ch 
682       1 00000074h 0Ch 
683       1 00000070h 0Ch 
684       1 00000074h 0Ch 
685       1 00000070h 0Ch 
686       1 00000074h 0Ch 
687       1 00000070h 0Ch 
688       1 00000074h 0Ch 
689       1 00000070h 0Ch 
690       1 00000074h 0Ch 
691       1 00000070h 0Ch 
692       1 00000074h 0Ch 
693       1 00000070h 0Ch 
694       1 00000074h 0Ch 
695       1 00000070h 0Ch 
696       1 00000074h 0Ch 
697       1 00000070h 0Ch 
698       1 00000074h 0Ch 
699       1 00000070h 0Ch 
700       1 00000074h 0Ch 
701       1 00000070h 0Ch 
702       1 00000074h 0Ch 
703       1 00000070h 0Ch 
704       1 00000074h 0Ch 
705       1 00000070h 0Ch 
706       1 00000074h 0Ch 
707       1 00000070h 0Ch 
708       1 00000074h 0Ch 
709       1 00000070h 0Ch 
710       1 00000074h 0Ch 
711       1 00000070h 0Ch 
712       1 00000074h 0Ch 
713       1 00000070h 0Ch 
714       1 00000074h 0Ch 
715       1 00000070h 0Ch 
716       1 00000074h 0Ch 
717       1 00000070h 0Ch 
718       1 00000074h 0Ch 
719       1 00000070h 0Ch 
720       1 00000074h 0Ch 
721       1 00000070h 0Ch 
722       1 00000074h 0Ch 
723       1 00000070h 0Ch 
724       1 00000074h 0Ch 
725       1 00000070h 0Ch 
726       1 00000074h 0Ch 
727       1 00000070h 0Ch 
728       1 00000074h 0Ch 
729       1 00000070h 0Ch 
730       1 00000074h 0Ch 
731       1 00000070h 0Ch 
732       1 00000074h 0Ch 
733       1 00000070h 0Ch 
734       1 00000074h 0Ch 
735       1 00000070h 0Ch 
736       1 00000074h 0Ch 
737       1 00000070h 0Ch 
738       1 00000074h 0Ch 
739       1 00000070h 0Ch 
740       1 00000074h 0Ch 
741       1 00000070h 0Ch 
742       1 00000074h 0Ch 
743       1 00000070h 0Ch 
744       1 00000074h 0Ch 
745       1 00000070h 0Ch 
746       1 00000074h 0Ch 
747       1 00000070h 0Ch 
748       1 00000074h 0Ch 
749       1 00000070h 0Ch 
750       1 00000074h 0Ch 
751       1 00000070h 0Ch 
752       1 00000074h 0Ch 
753       1 00000070h 0Ch 
754       1 00000074h 0Ch 
